geometry,Id,Name,Addition,count,unique
"POLYGON ((73.72620321408999 18.646902816513375, 73.72816641423964 18.65108905212702, 73.73164042730815 18.65541967115746, 73.73392470987375 18.65884609500597, 73.73511444037666 18.66184421587326, 73.74312101404331 18.66687249885223, 73.74319103164584 18.666680450570595, 73.74459967256121 18.665386023783526, 73.74692202650289 18.664205811124532, 73.7492824518207 18.663596669107164, 73.7512240920014 18.66313981259401, 73.75297537530167 18.661997671311156, 73.75468858722598 18.66077938727625, 73.75522158649136 18.659789531497722, 73.7557165143806 18.65975146012164, 73.75689672703936 18.662226099567704, 73.75891450997233 18.66412966837231, 73.76058965052056 18.665271809655223, 73.76055157914442 18.665919023048843, 73.7621654786152 18.66306184318495, 73.76365026228297 18.661177310068183, 73.76382158347542 18.65912145575919, 73.76330761989811 18.65472421182045, 73.76313629870566 18.651868858613398, 73.7622796927435 18.650098539625105, 73.76222258567935 18.64895639834225, 73.76148019384567 18.64821400650851, 73.76090912320421 18.647471614674657, 73.76068069494767 18.646129598667358, 73.76068069494767 18.64355978078106, 73.7604237131589 18.64221776477376, 73.76022383843451 18.641503926472012, 73.75862484063862 18.64044744578547, 73.75751125288792 18.64010480340056, 73.75696873577846 18.639590839823313, 73.75619779041261 18.639191090374254, 73.75565527330332 18.639219643906415, 73.75488432793748 18.639619393355474, 73.75365652605842 18.63950517922717, 73.75388495431503 18.640647320509856, 73.75337099073772 18.641304051747625, 73.75140079702481 18.641332605279615, 73.74971613863266 18.64116128408716, 73.74894519326682 18.6400762498684, 73.74877387207437 18.63950517922717, 73.74740330253508 18.639590839823313, 73.74520468056562 18.639847821612022, 73.74337725451318 18.64044744578547, 73.74146416786448 18.641618140600315, 73.74003649126104 18.643417013120768, 73.73863736818959 18.64481613619222, 73.73812340461228 18.644958903852512, 73.73763799456714 18.644701922063916, 73.73675283507299 18.64381676256977, 73.7360389967713 18.64221776477376, 73.73515383727715 18.641589587068324, 73.73369760714155 18.641932229453005, 73.73244125173039 18.64281738894732, 73.73166384800516 18.64329863887258, 73.7318457615699 18.643989910419066, 73.73001833551746 18.645550836838822, 73.72910462249132 18.646312264360745, 73.72620321408999 18.646902816513375))",0,Ravet,2,9218,7
"POLYGON ((73.73342195866445 18.614842298650217, 73.73570318984247 18.617603789023633, 73.73859783270956 18.621101482488086, 73.74064820474047 18.626890768222268, 73.74306040712975 18.631473952761894, 73.74704054107201 18.63292127419544, 73.75029701429747 18.634247985509603, 73.75357467259977 18.63431985780312, 73.75357467259977 18.63157871872437, 73.75864577989529 18.628654837040415, 73.76723468234195 18.624314700165826, 73.76659508322359 18.621939046297484, 73.76517882803296 18.618649679403063, 73.76357983023706 18.615725797719108, 73.76102143376357 18.608827264370973, 73.75718383905331 18.60841609350922, 73.7517929321985 18.608187665252785, 73.74612791143579 18.609649606094592, 73.74302128714658 18.611477032147207, 73.73936885996898 18.611113330883995, 73.73944100110049 18.612862753325032, 73.73451075789637 18.61440464405689, 73.73342195866445 18.614842298650217))",0,Tathawade,1,7358,7
"POLYGON ((73.76380789618702 18.659285703221656, 73.76365026228308 18.661177310068297, 73.76216547861532 18.663061843185062, 73.76055157914453 18.665919023048957, 73.7600566512553 18.666490093690243, 73.75990436575091 18.666985021579478, 73.75971400887039 18.667479949468714, 73.75944750923776 18.668127162862334, 73.75952365198992 18.66877437625584, 73.76013279400746 18.66881244763192, 73.76093229290547 18.667061164331642, 73.76157950629897 18.666528165066325, 73.76363536060796 18.666109379929253, 73.76546278666041 18.66572866616849, 73.76679528482379 18.66538602378364, 73.76915571014155 18.665462166535804, 73.77174456371591 18.66595709442487, 73.77444763141852 18.668165234238472, 73.77627505747097 18.67105865882138, 73.77696546596809 18.67236550347684, 73.79030681473233 18.665474570978233, 73.78887913812872 18.66399930515462, 73.78673762322359 18.663190288412693, 73.78354914547583 18.662524039331004, 73.77974200786639 18.66100118428733, 73.77798120672219 18.659097615482665, 73.77464996131397 18.65933556158319, 73.77155666200645 18.659763864564184, 73.77050969916377 18.660858416627036, 73.76836818425863 18.660572881306337, 73.76380789618702 18.659285703221656))",0,Nigdi,1,2620,7
"MULTIPOLYGON (((73.83566640417678 18.576349765560053, 73.83583111251744 18.575431127666832, 73.83541020550933 18.57767650653045, 73.83551411867239 18.577453835466827, 73.83566640417678 18.576349765560053)), ((73.78917419129345 18.671732553423624, 73.78835922083789 18.666480521598373, 73.7769654659682 18.672365503476897, 73.77734105600177 18.673076441754574, 73.77768369838645 18.675132296063566, 73.77798826939522 18.676845507987707, 73.77825476902791 18.678368363031552, 73.77928269618246 18.679434361562073, 73.78122433636321 18.68000543220353, 73.78198576388513 18.680195789083996, 73.78286140553519 18.68099528798183, 73.78312790516782 18.68202321513644, 73.78305176241565 18.683127285043213, 73.78316597654396 18.68438364045403, 73.78388933268974 18.686096852378398, 73.78465076021166 18.686591780267634, 73.78613554387925 18.686896351276403, 73.78723961378586 18.68883799145692, 73.78742997066632 18.69013241824439, 73.78701118552948 18.691579130535843, 73.78731575653825 18.692607057690452, 73.78716347103386 18.693178128331738, 73.78644011488802 18.693673056220973, 73.78583097287049 18.6952339826409, 73.78586904424657 18.696338052547503, 73.78632590075972 18.697480193830415, 73.78655432901633 18.69827969272825, 73.78621168663148 18.69892690612187, 73.78529797360517 18.699117263002165, 73.78347054755272 18.699193405754556, 73.78297561966343 18.69995483327648, 73.78168119287636 18.700411689789462, 73.78023448058474 18.70064011804601, 73.77962533856737 18.700868546302615, 73.77886391104545 18.70094468905478, 73.77996798095222 18.709320391795416, 73.78183347838075 18.713901647385228, 73.78289947691127 18.717594570866368, 73.78358476168097 18.718317927012038, 73.78362283305711 18.71877478352519, 73.7832801906722 18.71972656792758, 73.78301369103974 18.719916924808047, 73.78301369103974 18.720107281688172, 73.78335633342442 18.720335709944948, 73.78487918846827 18.721249422971255, 73.78655432901633 18.721211351595173, 73.78720154240995 18.720830637834183, 73.78708732828164 18.719840782055883, 73.78693504277726 18.717975284627187, 73.7869731141534 18.716833143344445, 73.7875441847948 18.715576787933287, 73.79355946221744 18.710018367023793, 73.79512038863726 18.708457440603866, 73.79614831579181 18.70685844280797, 73.79885138349448 18.703965018224835, 73.80030881569269 18.702444219409244, 73.79888239219747 18.697887588799745, 73.79853974981262 18.69360455898925, 73.79734050146556 18.69189134706511, 73.7936856493605 18.68623774771521, 73.79277193633436 18.682297360289454, 73.79162979505168 18.67944200708257, 73.79105872441022 18.67778590222241, 73.78917419129345 18.671732553423624)))",0,Talawade,2,7793,7
"POLYGON ((73.83743203874633 18.688673331164807, 73.83489197484704 18.684110623790048, 73.83291226329021 18.677257776093256, 73.83085640898105 18.672156211696745, 73.8290289829286 18.66751150381333, 73.8275822706371 18.664465793726038, 73.82575484458448 18.656242376489786, 73.82446041779741 18.65647080474639, 73.82339441926672 18.656927661259544, 73.82248070624058 18.656927661259544, 73.82118627945334 18.656623090250775, 73.81418114625217 18.656242376489786, 73.81380043249118 18.657536803276855, 73.81212529194318 18.65768908878124, 73.8103740086429 18.658831230064152, 73.8074044413076 18.65913580107292, 73.8060338717683 18.65913580107292, 73.80481558773323 18.65974494309046, 73.80291201892862 18.659668800338068, 73.79979016608888 18.662638367673424, 73.79750588352329 18.66416122271727, 73.79293731839215 18.664694221982586, 73.79095760683532 18.664770364734636, 73.79030681473245 18.665474570978347, 73.78835922083789 18.666480521598373, 73.78917419129345 18.671732553423624, 73.79105872441022 18.67778590222241, 73.79162979505168 18.67944200708257, 73.79277193633436 18.682297360289454, 73.7936856493605 18.68623774771521, 73.79734050146556 18.69189134706511, 73.79853974981262 18.69360455898925, 73.79888239219747 18.697887588799745, 73.80030881569269 18.702444219409244, 73.8006026667947 18.70213759217222, 73.80231587871907 18.701300021898305, 73.80429559027584 18.70217566354853, 73.80642758733705 18.703660447216066, 73.80844537026996 18.704079232353138, 73.81046315320293 18.704231517857522, 73.81194793687047 18.703584304463902, 73.81297586402508 18.70213759217222, 73.81377536292308 18.700690879880938, 73.81415607668407 18.699015739332708, 73.81430836218846 18.697188313280265, 73.81404186255577 18.694942102090806, 73.81388957705138 18.69124917860944, 73.81434643356454 18.68888875329202, 73.81480329007769 18.687365898248174, 73.81575507447991 18.68622375696549, 73.8170114298909 18.685348115315264, 73.81842007080644 18.685043544306495, 73.81960028346526 18.684929330178193, 73.82066628199595 18.68618568558901, 73.82314092144202 18.687480112376477, 73.82637698840983 18.688051183017933, 73.82946076987344 18.68926946705284, 73.83201155207172 18.689840537694238, 73.83482883390263 18.689421752557223, 73.83743203874633 18.688673331164807))",0,Chikhali,2,18009,7
"POLYGON ((73.86665650431672 18.686071471461105, 73.86643122574509 18.683068467939506, 73.8669642250104 18.68017504335637, 73.86711651051479 18.67751004702984, 73.86772565253233 18.674616622446706, 73.8685632228063 18.672180054376724, 73.86749722427578 18.672180054376724, 73.86704036776263 18.6679160602543, 73.86848708005408 18.667002347227992, 73.86658351124947 18.663728208884095, 73.86369008666634 18.659692643018104, 73.86460379969265 18.657179932195902, 73.86460379969265 18.656037790913217, 73.86132966134858 18.6507077982601, 73.85759866649147 18.648423515694503, 73.85622809695201 18.647890516429186, 73.8488422499899 18.647205231659655, 73.84495896962846 18.647433659916203, 73.84343611458479 18.64796665918135, 73.8394005487188 18.649489514225195, 73.83985740523195 18.65108851202109, 73.83879140670143 18.653068223577918, 73.83475584083544 18.652839795321313, 73.83300455753516 18.653296651834467, 73.82575484458448 18.656242376489786, 73.8275822706371 18.664465793726038, 73.8290289829286 18.66751150381333, 73.83085640898105 18.672156211696745, 73.83291226329021 18.677257776093256, 73.83489197484704 18.684110623790048, 73.83743203874633 18.688673331164807, 73.83787454399015 18.68854611090717, 73.83939739903383 18.68763239788086, 73.84179589572773 18.686832898982857, 73.8441182496694 18.687403969624086, 73.84594567572202 18.688774539163546, 73.84739238801347 18.68896489604407, 73.84956245645077 18.68896489604407, 73.8516563821359 18.688089254394015, 73.8539406647015 18.685728829076254, 73.85614880451487 18.682683118988734, 73.85881380084146 18.6804749791753, 73.8605270127656 18.679903908533902, 73.86227829606582 18.68013233679045, 73.8637250083575 18.68245469073213, 73.86665650431672 18.686071471461105))",0,Moshi,2,16717,7
"POLYGON ((73.88477847933706 18.66935813735614, 73.88010058581739 18.66724217557754, 73.87120140165553 18.665671731313694, 73.86848708005408 18.667002347227992, 73.86704036776263 18.6679160602543, 73.86749722427578 18.672180054376724, 73.8685632228063 18.672180054376724, 73.86772565253233 18.674616622446706, 73.86711651051479 18.67751004702984, 73.8669642250104 18.68017504335637, 73.86643122574509 18.683068467939506, 73.86665650431672 18.686071471461105, 73.86867428724963 18.687137469991626, 73.87297635274814 18.686832898982857, 73.87609820558782 18.685728829076254, 73.87937234393195 18.68310190412558, 73.88158048374532 18.680741478807988, 73.88325562429338 18.678190696609533, 73.88649169126137 18.677276983583226, 73.88805261768113 18.67746734046392, 73.8876719039202 18.674916558265636, 73.88675819089389 18.672251561939106, 73.88611097750038 18.67061449276713, 73.88477847933706 18.66935813735614))",0,Dudulgaon,2,4208,7
"POLYGON ((73.87468956467228 18.635058905269602, 73.87152024943038 18.6366308856297, 73.86398211696388 18.64060553729388, 73.86389074566137 18.642844134208133, 73.86064706441812 18.64293550551082, 73.85868258141164 18.64430607505011, 73.85859121010913 18.645996444148636, 73.85785079550482 18.648577880396545, 73.86132966134858 18.6507077982601, 73.86460379969265 18.656037790913217, 73.86460379969265 18.657179932195902, 73.86369008666634 18.659692643018104, 73.86658351124947 18.663728208884095, 73.86848708005408 18.667002347227992, 73.87120140165553 18.665671731313694, 73.88010058581739 18.66724217557754, 73.88477847933706 18.66935813735614, 73.88873790245088 18.667073854790544, 73.89083182813596 18.665779428003304, 73.89292575382109 18.665512928370617, 73.89319225345378 18.664865714976997, 73.89330646758202 18.664332715711794, 73.89399175235161 18.664294644335712, 73.89422018060816 18.66494185772916, 73.89418210923208 18.66619821314032, 73.89456282299301 18.667073854790544, 73.89559075014762 18.667073854790544, 73.89680903418252 18.66722614029493, 73.8968471055586 18.667797210936214, 73.89787503271322 18.66798756781668, 73.89909331674812 18.668025639192763, 73.9013014565615 18.66322864580502, 73.90213902683564 18.66322864580502, 73.9057938789407 18.659611865076045, 73.90587002169269 18.65740372526284, 73.9068979488473 18.65747986801466, 73.90712637710385 18.656832654621383, 73.90914416003676 18.657289511134536, 73.91378886792018 18.656185441227763, 73.91561629397262 18.655271728201456, 73.91713914901646 18.65500522856877, 73.91793864791447 18.653253945268546, 73.91938536020592 18.651883375729255, 73.92106050075398 18.651426519216102, 73.92418235359366 18.65138844784002, 73.92593363689394 18.651654947472707, 73.92669506441587 18.651997589857558, 73.92890320422924 18.651845304353174, 73.93004534551216 18.65104580545517, 73.93038798789684 18.65043666343763, 73.92985498863163 18.648837665641736, 73.93034991652075 18.64765745298257, 73.93103520129046 18.646134597939124, 73.93141591505145 18.64525895628907, 73.93156820055583 18.644687885647613, 73.93156820055583 18.643850315373527, 73.9318727715646 18.643050816475295, 73.93255805633413 18.64259395996254, 73.93255805633413 18.641794461064478, 73.93194891431676 18.641718318312314, 73.93202505706898 18.640766533909925, 73.93229155670144 18.640271606020633, 73.9328626273429 18.639091393361866, 73.93309105559945 18.638406108592278, 73.93316719835167 18.63745432418989, 73.93271034183851 18.636350254283116, 73.9329768414712 18.635626898137446, 73.93362405486482 18.63482739923944, 73.9335479121126 18.633913686213134, 73.93282455596682 18.63277154493045, 73.93229155670144 18.631819760528003, 73.93183470018846 18.63067761924532, 73.931644343308 18.62911669282539, 73.93267227046243 18.62732733814903, 73.93320526972775 18.626565910627107, 73.93343369798436 18.625880625857576, 73.93320526972775 18.625081126959344, 73.93206312844507 18.6246623418225, 73.93095905853829 18.623367915035374, 73.92985498863163 18.622301916504682, 73.92938319115325 18.620943078325467, 73.92281587877721 18.620847899885064, 73.92081713153215 18.619182277180926, 73.91472571135728 18.618801563420163, 73.90968125402492 18.61775460057754, 73.9062072409564 18.617040762275963, 73.90587707308043 18.61697829808321, 73.90444643981203 18.616707637735033, 73.90235251412713 18.61808772511847, 73.90160887407501 18.618476706068634, 73.90293852573365 18.62458619907028, 73.90472788041001 18.62801262291879, 73.90442330940124 18.62831719392716, 73.90282431160534 18.628202979799255, 73.90202481270734 18.6277461232861, 73.90137759931389 18.62702276714026, 73.89935981638081 18.62736540952511, 73.90000702977443 18.6300304058517, 73.89836996060245 18.629840048971005, 73.89848417473058 18.63368525795636, 73.8956288215237 18.633532972451974, 73.89551460739546 18.635512684008972, 73.89547653601932 18.637302038685505, 73.89600953528469 18.63787310932696, 73.89547653601932 18.638253823087894, 73.89353489583863 18.638558394096492, 73.89243082593185 18.639281750242333, 73.89224046905133 18.639662464003095, 73.8915551842818 18.640690391157875, 73.89132675602502 18.641984817945, 73.88961354410088 18.6425558885864, 73.88915668758773 18.641756389688396, 73.88915668758773 18.64122339042308, 73.88820490318551 18.641033033542556, 73.88782418942458 18.641718318312314, 73.88744347566359 18.642060960697165, 73.88645361988529 18.64263203133862, 73.8852734072263 18.64259395996254, 73.88523533585021 18.64259395996254, 73.88519726447407 18.64263203133862, 73.88515919309799 18.64263203133862, 73.88515919309799 18.642670102714703, 73.88508305034583 18.642670102714703, 73.88504497896969 18.642708174090785, 73.8850069075936 18.642746245466924, 73.88496883621752 18.642746245466924, 73.88493076484144 18.642784316843006, 73.8848926934653 18.642784316843006, 73.88485462208922 18.642784316843006, 73.88485462208922 18.64286045959517, 73.88485462208922 18.64289853097091, 73.88485462208922 18.64293660234739, 73.8848926934653 18.643012745099554, 73.88496883621752 18.643050816475295, 73.88504497896969 18.643088887851604, 73.88512112172191 18.643126959227857, 73.88519726447407 18.64316503060394, 73.88523533585021 18.64320310197968, 73.88523533585021 18.64327924473207, 73.88523533585021 18.643317316108323, 73.88523533585021 18.643355387484064, 73.88523533585021 18.64358381574084, 73.88523533585021 18.643698029869142, 73.88523533585021 18.643736101245224, 73.88523533585021 18.643774172621306, 73.88523533585021 18.643812243997218, 73.88523533585021 18.643850315373527, 73.88523533585021 18.64388838674961, 73.88523533585021 18.64392645812569, 73.88523533585021 18.643964529501602, 73.88523533585021 18.644116815005987, 73.88523533585021 18.644192957758378, 73.88523533585021 18.64423102913446, 73.88523533585021 18.64426910051037, 73.88523533585021 18.64430717188668, 73.88523533585021 18.644345243262762, 73.88523533585021 18.644497528767147, 73.88523533585021 18.64453560014323, 73.88519726447407 18.64464981427153, 73.88519726447407 18.644687885647613, 73.88519726447407 18.644725957023525, 73.88515919309799 18.644725957023525, 73.88515919309799 18.644764028399834, 73.88515919309799 18.644840171151998, 73.88508305034583 18.64487824252791, 73.88508305034583 18.64491631390422, 73.88508305034583 18.6449543852803, 73.88504497896969 18.644992456656382, 73.88496883621752 18.645106670784685, 73.88493076484144 18.645144742160767, 73.88485462208922 18.645144742160767, 73.88477847933706 18.645182813536678, 73.88474040796092 18.645182813536678, 73.88466426520876 18.645182813536678, 73.88458812245653 18.645182813536678, 73.88447390832829 18.645144742160767, 73.88428355144777 18.645068599408603, 73.88424548007168 18.645068599408603, 73.88416933731969 18.645068599408603, 73.8840931945673 18.645068599408603, 73.88390283768683 18.645068599408603, 73.88386476631092 18.645068599408603, 73.88375055218262 18.645068599408603, 73.88363633805432 18.645068599408603, 73.88356019530215 18.645068599408603, 73.88352212392607 18.645068599408603, 73.88344598117385 18.645068599408603, 73.88340790979777 18.645068599408603, 73.88336983842169 18.645068599408603, 73.88329369566947 18.645068599408603, 73.8832175529173 18.645068599408603, 73.88314141016508 18.645068599408603, 73.883103338789 18.645068599408603, 73.88306526741292 18.645068599408603, 73.88302719603678 18.645068599408603, 73.8829891246607 18.645068599408603, 73.88295105328461 18.645068599408603, 73.88283683915631 18.645068599408603, 73.88257033952362 18.645106670784685, 73.88241805401924 18.645106670784685, 73.882303839891 18.645144742160767, 73.88203734025848 18.645144742160767, 73.88192312613 18.645182813536678, 73.8818089120017 18.645220884912987, 73.88173276924971 18.645220884912987, 73.88161855512124 18.645220884912987, 73.88158048374532 18.64525895628907, 73.88142819824094 18.64525895628907, 73.88139012686486 18.64525895628907, 73.88127591273656 18.64529702766515, 73.88108555585609 18.645411241793454, 73.88097134172779 18.645449313169536, 73.88089519897557 18.645449313169536, 73.88089519897557 18.645487384545447, 73.8808190562234 18.645487384545447, 73.8808190562234 18.645525455921586, 73.88074291347118 18.645525455921586, 73.8807048420951 18.645525455921586, 73.88066677071902 18.645563527297668, 73.88062869934294 18.645563527297668, 73.88040027108633 18.645563527297668, 73.88020991420586 18.64560159867392, 73.88009570007756 18.64560159867392, 73.87998148594926 18.64560159867392, 73.87986727182101 18.64563967004983, 73.87979112906879 18.64563967004983, 73.87971498631663 18.64563967004983, 73.87967691494049 18.64563967004983, 73.87963884356441 18.645525455921586, 73.87963884356441 18.6453731704172, 73.87963884356441 18.645335099041063, 73.87963884356441 18.64529702766515, 73.87963884356441 18.64525895628907, 73.87963884356441 18.645220884912987, 73.87963884356441 18.645106670784685, 73.87963884356441 18.645068599408603, 73.87963884356441 18.6449543852803, 73.87963884356441 18.644840171151998, 73.87963884356441 18.644725957023525, 73.87963884356441 18.644687885647613, 73.87963884356441 18.64464981427153, 73.87963884356441 18.644497528767147, 73.87963884356441 18.644459457391065, 73.87963884356441 18.644421386014756, 73.87963884356441 18.644345243262762, 73.87963884356441 18.64430717188668, 73.87960077218833 18.64426910051037, 73.87956270081241 18.644154886382296, 73.8795246294361 18.644078743630075, 73.8795246294361 18.644040672253993, 73.8795246294361 18.64400260087791, 73.8795246294361 18.643964529501602, 73.8795246294361 18.64392645812569, 73.8795246294361 18.64388838674961, 73.87948655806002 18.643850315373527, 73.87948655806002 18.643774172621306, 73.87944848668394 18.643736101245224, 73.87944848668394 18.643698029869142, 73.87944848668394 18.643659958492833, 73.87941041530803 18.64362188711692, 73.87933427255564 18.64350767298845, 73.87929620117956 18.64350767298845, 73.87925812980365 18.643431530236455, 73.87922005842756 18.643393458860373, 73.87918198705142 18.643355387484064, 73.87914391567517 18.643355387484064, 73.87914391567517 18.643317316108323, 73.87910584429926 18.643317316108323, 73.87902970154704 18.64327924473207, 73.87902970154704 18.64324117335599, 73.87895355879488 18.64320310197968, 73.87887741604266 18.64320310197968, 73.87887741604266 18.643126959227857, 73.87880127329049 18.643088887851604, 73.87876320191441 18.643050816475295, 73.87872513053827 18.643050816475295, 73.87868705916219 18.643012745099554, 73.87864898778611 18.642974673723472, 73.87864898778611 18.64293660234739, 73.87861091641003 18.64293660234739, 73.87857284503389 18.64293660234739, 73.8785347736578 18.64289853097091, 73.8785347736578 18.64286045959517, 73.87845863090564 18.642822388219088, 73.87845863090564 18.642784316843006, 73.8784205595295 18.642746245466924, 73.87834441677734 18.642670102714703, 73.87826827402512 18.642670102714703, 73.87811598852073 18.6425558885864, 73.87807791714465 18.6425558885864, 73.87803984576857 18.64251781721032, 73.87803984576857 18.642479745834237, 73.87800177439249 18.642479745834237, 73.87792563164027 18.642403603082016, 73.87788756026418 18.642365531705934, 73.87781141751196 18.64228938895377, 73.87777334613588 18.64221324620155, 73.87769720338372 18.642099032073247, 73.87765913200758 18.642099032073247, 73.87765913200758 18.642060960697165, 73.87765913200758 18.642022889321083, 73.8776210606315 18.641984817945, 73.87758298925542 18.64190867519278, 73.8775068465032 18.641832532440617, 73.87743070375103 18.641718318312314, 73.87739263237495 18.641680246936232, 73.87735456099881 18.64160410418401, 73.87731648962273 18.64160410418401, 73.87731648962273 18.64156603280793, 73.87727841824682 18.64156603280793, 73.87727841824682 18.641527961431848, 73.87724034687056 18.641413747303545, 73.87720227549443 18.64126146179916, 73.87720227549443 18.64122339042308, 73.87712613274243 18.641071104918694, 73.87701191861396 18.64091881941431, 73.87685963310958 18.640766533909925, 73.87682156173366 18.640728462533787, 73.87659313347706 18.64050003427741, 73.87655506210098 18.64050003427741, 73.87640277659659 18.640309677396942, 73.87636470522051 18.640271606020633, 73.87617434834004 18.64011932051625, 73.8761362769639 18.640081249140337, 73.87602206283566 18.639928963635953, 73.87594592008344 18.63985282088379, 73.87579363457905 18.639738606755486, 73.87575556320297 18.639700535379404, 73.87575556320297 18.639662464003095, 73.87564134907467 18.6394721071228, 73.87560327769859 18.6394721071228, 73.87552713494637 18.639357892994326, 73.87552713494637 18.639281750242333, 73.87548906357028 18.63924367886625, 73.8754509921942 18.63924367886625, 73.8754509921942 18.63920560748994, 73.87541292081812 18.639129464737948, 73.8753367780659 18.63893910785748, 73.87529870668982 18.63886296510526, 73.87529870668982 18.63882489372918, 73.87526063531374 18.63882489372918, 73.8752225639376 18.638596465472403, 73.87510834980935 18.638406108592278, 73.87507027843321 18.638329965839944, 73.87507027843321 18.638291894463634, 73.87503220705713 18.638253823087894, 73.87499413568105 18.63821575171181, 73.87499413568105 18.63817768033556, 73.87499413568105 18.63813960895925, 73.87495606430497 18.63810153758351, 73.87491799292883 18.63810153758351, 73.87491799292883 18.638063466207427, 73.87487992155275 18.637987323454865, 73.87480377880075 18.63783503795088, 73.87476570742444 18.63779696657474, 73.87476570742444 18.637758895198658, 73.87476570742444 18.637720823822576, 73.87472763604836 18.637720823822576, 73.87465149329637 18.63753046694211, 73.87465149329637 18.63749239556597, 73.87461342192029 18.63749239556597, 73.87461342192029 18.637416252813807, 73.87461342192029 18.637378181437725, 73.87461342192029 18.637302038685505, 73.87461342192029 18.63722589593334, 73.87461342192029 18.637073610428956, 73.87461342192029 18.637035539052818, 73.87457535054398 18.636997467676736, 73.87457535054398 18.63692132492457, 73.8745372791679 18.63684518217235, 73.8745372791679 18.636654825291885, 73.8745372791679 18.6365025397875, 73.8745372791679 18.63646446841142, 73.8745372791679 18.636350254283116, 73.8745372791679 18.636312182907034, 73.8745372791679 18.636274111530895, 73.87449920779198 18.636274111530895, 73.87449920779198 18.63619796877873, 73.87449920779198 18.63615989740265, 73.87449920779198 18.63608375465043, 73.87449920779198 18.636045683274347, 73.87449920779198 18.636007611898265, 73.87449920779198 18.635969540522126, 73.87449920779198 18.635893397769962, 73.87449920779198 18.63585532639388, 73.8745372791679 18.63585532639388, 73.8745372791679 18.63581725501774, 73.8745372791679 18.63577918364183, 73.87457535054398 18.635664969513357, 73.87461342192029 18.63555075538528, 73.87461342192029 18.635512684008972, 73.87461342192029 18.635398469880897, 73.87461342192029 18.635170041624292, 73.87465149329637 18.635170041624292, 73.87465149329637 18.635093898872128, 73.87468956467228 18.635093898872128, 73.87468956467228 18.635058905269602))",0,Charholi,2,27739,7
"POLYGON ((73.8120506859255 18.65773774487974, 73.80961182484674 18.650513194137034, 73.79761934137736 18.642689526349784, 73.79510663055521 18.641604492131023, 73.79008120891086 18.642346883964933, 73.78517000139482 18.644802487722927, 73.78174357754631 18.64520223717193, 73.77831715369803 18.64497380891538, 73.77363437443859 18.644402738273925, 73.77026505765423 18.64520223717193, 73.77049348591083 18.64937105285412, 73.76786656096039 18.649827909367275, 73.76535385013818 18.652683262574328, 73.76326857398965 18.65407344667352, 73.76330761989834 18.654724211820735, 73.76382158347565 18.659121455759475, 73.76380789618719 18.659285703221826, 73.7683681842588 18.660572881306507, 73.77050969916394 18.660858416627036, 73.77155666200662 18.659763864564184, 73.77464996131414 18.65933556158319, 73.77798120672236 18.659097615482892, 73.77974200786656 18.6610011842875, 73.783549145476 18.662524039331174, 73.78673762322376 18.663190288412864, 73.78887913812889 18.66399930515479, 73.7903068147325 18.66547457097846, 73.79095760683538 18.664770364734693, 73.7929373183922 18.6646942219827, 73.7975058835234 18.664161222717382, 73.799790166089 18.662638367673537, 73.80291201892868 18.65966880033818, 73.80481558773334 18.659744943090573, 73.80603387176842 18.659135801073035, 73.80740444130765 18.659135801073035, 73.81037400864301 18.658831230064266, 73.8120506859255 18.65773774487974))",0,Akurdi,1,9786,7
"POLYGON ((73.78462873040394 18.616859285726207, 73.78522710845897 18.615906313268113, 73.78488446607406 18.612936745932814, 73.78174357754631 18.60945321502038, 73.77707132735566 18.603567976799127, 73.77555137445012 18.60470794147824, 73.76945995427508 18.606706688723136, 73.76102143376409 18.60882726437154, 73.76357983023763 18.615725797719108, 73.76517882803347 18.61864967940363, 73.7665950832241 18.621939046298053, 73.76723468234229 18.624314700166167, 73.76906580930739 18.62430105169659, 73.77346305324613 18.627441940224344, 73.77626129938903 18.62801301086597, 73.77751765480002 18.627499047288666, 73.77734633360774 18.62567162123605, 73.77826004663387 18.62293048215747, 73.78065854332777 18.620189343078778, 73.78260018350852 18.617676632256575, 73.78311414708577 18.61647738390974, 73.78402786011208 18.61653449097389, 73.78462873040394 18.616859285726207))",0,Thergaon,1,4634,7
